filename	acq_time	operator	randstr
anat/sub-0046_T1w.nii.gz	2025-04-10T16:25:45.650000	n/a	8cc5f411
fmap/sub-0046_dir-PA_epi.nii.gz	2025-04-10T16:33:52.517500	n/a	d048f92c
fmap/sub-0046_dir-AP_epi.nii.gz	2025-04-10T16:34:27.582500	n/a	b5c37db3
func/sub-0046_task-controlled_run-01_bold.nii.gz	2025-04-10T16:35:48.165000	n/a	4825048e
func/sub-0046_task-controlled_run-02_bold.nii.gz	2025-04-10T16:45:01.572500	n/a	d301618c
func/sub-0046_task-controlled_run-03_bold.nii.gz	2025-04-10T16:54:28.895000	n/a	46ed6293
func/sub-0046_task-controlled_run-04_bold.nii.gz	2025-04-10T17:03:41.095000	n/a	3d0d450d
func/sub-0046_task-controlled_run-05_bold.nii.gz	2025-04-10T17:13:06.490000	n/a	4dc14a16
func/sub-0046_task-naturalistic_run-01_bold.nii.gz	2025-04-10T17:22:36.682500	n/a	9a93239e
func/sub-0046_task-naturalistic_run-02_bold.nii.gz	2025-04-10T17:31:46.502500	n/a	8682446b
func/sub-0046_task-naturalistic_run-03_bold.nii.gz	2025-04-10T17:41:09.007500	n/a	393fb4c4
